trait,item,citc,quality
宜人性,QA_10,0.4049277106580038,优秀
尽责性,QC_4,0.5491246842175429,优秀
外向性,QE_10,0.5907123271993056,优秀
宜人性,QA_12,0.66641850499511,优秀
开放性,QO_8,0.6810839435035541,优秀
宜人性,QA_2,0.7026636468187102,优秀
宜人性,QA_1,0.7424059317252001,优秀
开放性,QO_4,0.7584883406883204,优秀
开放性,QO_10,0.7596936042821792,优秀
宜人性,QA_4,0.773582725129373,优秀
外向性,QE_5,0.8041814879213575,优秀
外向性,QE_9,0.8053043276083005,优秀
尽责性,QC_1,0.8239233028438463,优秀
神经质,QN_3,0.8289391473972859,优秀
宜人性,QA_11,0.8607984322860165,优秀
外向性,QE_8,0.8662732490797287,优秀
宜人性,QA_3,0.86792484519942,优秀
宜人性,QA_6,0.8712678798456989,优秀
神经质,QN_1,0.8718302547833927,优秀
外向性,QE_3,0.8761735149287737,优秀
外向性,QE_6,0.8798973899968083,优秀
外向性,QE_12,0.8840722644809147,优秀
宜人性,QA_7,0.8848293447117744,优秀
宜人性,QA_5,0.8861166116462041,优秀
宜人性,QA_8,0.8909347161446723,优秀
外向性,QE_7,0.8962165199693906,优秀
神经质,QN_8,0.9013897557352184,优秀
外向性,QE_1,0.9018826179140234,优秀
外向性,QE_2,0.9018826179140234,优秀
宜人性,QA_9,0.9059410949058428,优秀
开放性,QO_9,0.9124504811178008,优秀
外向性,QE_11,0.9130686010095989,优秀
外向性,QE_4,0.9183167234531792,优秀
尽责性,QC_10,0.927261124180305,优秀
开放性,QO_12,0.9349085110793,优秀
尽责性,QC_2,0.9437482171809382,优秀
开放性,QO_1,0.9448252211146431,优秀
开放性,QO_6,0.9454881997395688,优秀
开放性,QO_11,0.9566018400378032,优秀
尽责性,QC_3,0.9607810665576014,优秀
神经质,QN_10,0.9633901836715002,优秀
神经质,QN_2,0.9649626651366262,优秀
开放性,QO_7,0.9670214464786275,优秀
开放性,QO_2,0.9685353738763718,优秀
开放性,QO_3,0.970064160951783,优秀
神经质,QN_7,0.9706906430047292,优秀
开放性,QO_5,0.971050285548345,优秀
尽责性,QC_12,0.9725926558347324,优秀
尽责性,QC_11,0.9729606701258454,优秀
神经质,QN_5,0.9738188791800028,优秀
尽责性,QC_7,0.975721136086297,优秀
神经质,QN_11,0.9765879169219488,优秀
神经质,QN_12,0.9765879169219488,优秀
神经质,QN_6,0.9785395837953941,优秀
神经质,QN_9,0.9788365802474588,优秀
尽责性,QC_6,0.9804285582807813,优秀
神经质,QN_4,0.9811168178865997,优秀
尽责性,QC_8,0.9820735234253298,优秀
尽责性,QC_5,0.9837873543714322,优秀
尽责性,QC_9,0.9837873543714322,优秀
